2025-01-23 10:10:09.289 INFO  Logging to 'C:\Users\LUNANDIN\source\repos\ProductApplication\ProductAPI\bin\Debug\net8.0\' with level Info
2025-01-23 10:10:09.436 INFO  No valid license could be found. Falling back to trial license with start date '2025-01-09'.
2025-01-23 10:10:09.441 WARN  Trial license expiring today. Get your free development license at https://particular.net/license/nservicebus?v=9.2.3&t=0&p=windows&f=8
2025-01-23 10:11:00.708 INFO  Logging to 'C:\Users\LUNANDIN\source\repos\ProductApplication\ProductAPI\bin\Debug\net8.0\' with level Info
2025-01-23 10:11:01.020 INFO  No valid license could be found. Falling back to trial license with start date '2025-01-09'.
2025-01-23 10:11:01.026 WARN  Trial license expiring today. Get your free development license at https://particular.net/license/nservicebus?v=9.2.3&t=0&p=windows&f=8
2025-01-23 10:14:13.951 INFO  Logging to 'C:\Users\LUNANDIN\source\repos\ProductApplication\ProductAPI\bin\Debug\net8.0\' with level Info
2025-01-23 10:14:14.217 INFO  No valid license could be found. Falling back to trial license with start date '2025-01-09'.
2025-01-23 10:14:14.242 WARN  Trial license expiring today. Get your free development license at https://particular.net/license/nservicebus?v=9.2.3&t=0&p=windows&f=8
